"","system","ratio","order"
"296","Central California Current",27.4374525493458,4
"297","Central California Current",1.39235795762282,4
"298","Central California Current",-180.053192208196,4
"299","Central California Current",59.8327744315687,4
"300","Central California Current",90.340894173192,4
"301","Central California Current",25.187014806495,4
"302","Central California Current",-6.89929650892172,4
"303","Central California Current",-140.804031041074,4
"304","Central California Current",-66.3675521256339,4
"305","Central California Current",-173.537879604153,4
"306","Central California Current",-146.630180022234,4
"307","Central California Current",-172.311943509034,4
"308","Central California Current",-5.57053062290616,4
"309","Central California Current",16.0594777621708,4
"310","Central California Current",162.099496081242,4
"311","Central California Current",84.7141778140792,4
"312","Central California Current",-52.4475804859017,4
"313","Central California Current",-190.395383555849,4
"314","Central California Current",-67.1765478409858,4
"315","Central California Current",-61.6957011055987,4
"316","Central California Current",-185.254884205202,4
"317","Central California Current",-252.623570200749,4
"318","Central California Current",-91.6024879595821,4
"319","Central California Current",-216.851625686161,4
"320","Central California Current",-41.2208173683008,4
"321","Central California Current",-33.7835101189864,4
"322","Central California Current",-49.2348430571647,4
"323","Central California Current",-82.801740661014,4
"324","Central California Current",78.5404939625166,4
"325","Central California Current",-73.8011065968889,4
"326","Central California Current",-79.345085303282,4
"327","Central California Current",-56.7276614706067,4
"328","Central California Current",5.61428261115917,4
"329","Central California Current",-74.0740218224048,4
"330","Central California Current",23.3832248563547,4
"331","Central California Current",-156.807103054943,4
"332","Central California Current",-75.8025187522506,4
"333","Central California Current",-52.4843366076617,4
"334","Central California Current",-161.211826994347,4
"335","Central California Current",-156.865349743748,4
"336","Central California Current",-14.1470744192371,4
"337","Central California Current",65.7878057283231,4
"338","Central California Current",-7.49137567998316,4
"339","Central California Current",-11.2358342285547,4
"340","Central California Current",-67.7638541085709,4
"341","Central California Current",-207.880039860337,4
"342","Central California Current",83.0827612481019,4
"343","Central California Current",-97.1031609315262,4
"344","Central California Current",-36.4395963075208,4
"345","Central California Current",-226.170289465543,4
"346","Central California Current",-125.246790713815,4
"347","Central California Current",31.0311473358227,4
"348","Central California Current",-32.1787998382323,4
"349","Central California Current",-9.88692892345914,4
"350","Central California Current",-164.067282805338,4
"351","Central California Current",-109.494284276732,4
"352","Central California Current",-18.4701015355937,4
"353","Central California Current",-128.365517664981,4
"354","Central California Current",-66.5140600715462,4
"355","Central California Current",-8.81051930910345,4
"356","Central California Current",-55.1621230380465,4
"357","Central California Current",-115.563225612594,4
"358","Central California Current",-108.613817150045,4
"359","Central California Current",-128.512720021535,4
"360","Central California Current",-259.829920279441,4
"361","Central California Current",-220.707655458135,4
"362","Central California Current",-3.0933707180332,4
"363","Central California Current",-47.953713231611,4
"364","Central California Current",-211.468912142997,4
"365","Central California Current",-126.147013859624,4
"366","Central California Current",-79.1038567834754,4
"367","Central California Current",-31.302268642848,4
"368","Central California Current",-323.634948893935,4
"369","Central California Current",-201.74566800359,4
"370","Central California Current",-19.3016672388181,4
"371","Central California Current",-104.063670648603,4
"372","Central California Current",-147.020053410916,4
"373","Central California Current",-182.170376390996,4
"374","Central California Current",-172.857470396499,4
"375","Central California Current",-136.24039360413,4
"376","Central California Current",-124.231756784047,4
"377","Central California Current",-15.3077803212808,4
"378","Central California Current",-130.915345516448,4
"379","Central California Current",-46.5756741885551,4
"380","Central California Current",-201.749499417826,4
"381","Central California Current",-50.9543155940838,4
"382","Central California Current",32.4089358263684,4
"383","Central California Current",-98.6638243343804,4
"384","Central California Current",61.983151875897,4
"385","Central California Current",-13.5807894297019,4
"386","Central California Current",-38.1651314729353,4
"387","Central California Current",-177.032704454284,4
"388","Central California Current",13.1446812311458,4
"389","Central California Current",-1.31843978990705,4
"390","Central California Current",-173.196551188164,4
"391","Central California Current",156.746867496041,4
"392","Central California Current",55.2080558943801,4
"393","Central California Current",-45.7759918049199,4
"394","Central California Current",-177.950674818313,4
"395","Central California Current",-138.141113397651,4
"396","Central California Current",-147.856944412457,4
"397","Central California Current",-106.60909682394,4
"398","Central California Current",-66.9458836039916,4
"399","Central California Current",-160.676031934728,4
"400","Central California Current",-64.5875575400626,4
"401","Central California Current",-168.952146240994,4
"402","Central California Current",55.0596159788645,4
"403","Central California Current",18.3788741605374,4
"404","Central California Current",-97.9122550661247,4
"405","Central California Current",72.0722858028711,4
"406","Central California Current",-103.866361939228,4
"407","Central California Current",-66.5316543976682,4
